Name,Description,longitude,latitude
BI 13 Adult,,-155.9634821337374,19.59960232622137
BI Offspring,,-155.9701389,19.594
BI Daifukuji Offspring,,-155.9285619960251,19.54247509148288
BI Daifukuji Offspring,,-155.9286480174532,19.54250268168425
BI Daifukuji Adult,,-155.9285288523203,19.54253038567334
BI Adult,,-155.9131063781836,19.4919110278933
BI 10 Adult,,-155.8981389,19.4578056
BI Offspring,,-155.8980278,19.4579444
BI 15 Adult,,-155.8928056,19.4513611
BI 16 Adult,,-155.8928611,19.4511111
BI Offspring,,-155.8927778,19.4512778
BI Offspring,,-155.8927778,19.4512778
BI Offspring,,-155.8927778,19.4511667
BI Offspring,,-155.8927778,19.4511111
BI Offspring,,-155.8927778,19.4510833
BI Offspring,,-155.89275,19.4510833
BI Offspring,,-155.8927222,19.4510556
BI Offspring,,-155.89275,19.4510278
BI Offspring,,-155.89275,19.4510278
BI Offspring,,-155.8928056,19.4510556
BI Offspring,,-155.8923611,19.4513333
BI Offspring,,-155.8922778,19.4512222
BI Offspring,,-155.8920833,19.4508889
BI Offspring,,-155.8920278,19.4508889
BI Offspring,,-155.8920278,19.4509167
BI 14 Adult,,-155.9044167,19.425
BI 9 Adult,,-155.59025,19.0595556
BI 8 Adult,,-155.5902476876677,19.05965085790787
BI 7 Adult,,-155.5902503344404,19.05978439776786
BI Offspring,,-155.5902197374591,19.0598284719786
BI Offspring,,-155.5901944,19.0599167
BI Offspring,,-155.5897778,19.0596667
BI Offspring,,-155.5898056,19.05975
BI Offspring,,-155.5897778,19.05975
BI Offspring,,-155.5898056,19.05975
BI 11 Adult,,-155.0396111,19.6245278
BI Juvenile,,-155.0390819219545,19.62491246069746
BI 12 Adult,,-155.3732222,20.0411389
K2,,-159.3673970057214,21.9761101981944
K2 Offspring,<div>New in 2025<br></div>,-159.367076,21.976124
K2 Offspring,<div>New in 2025<br></div>,-159.367057,21.976129
K2 Offspring,<div>New in 2025<br></div><div><br></div>,-159.367045,21.976145
K2 Offspring,<div>New in 2025<br></div>,-159.367014,21.976256
K2 Offspring,<div>New in 2025<br></div>,-159.366909,21.976264
K2 Offspring,<div>New in 2025<br></div>,-159.366692,21.976339
K2 Offspring,<div>New to 2025</div>,-159.3670556,21.9761389
K2 Offspring,<div>New to 2025</div>,-159.3670278,21.97625
K2 Offspring,<div>New in 2025</div>,-159.3670833,21.9761111
K2 Offspring,<div>Far older than 2023</div>,-159.367038,21.975189
K2 Offspring,,-159.3669722,21.97625
K2 Offspring,<div>2023-2024 Not there in 2025<br></div>,-159.367118,21.975894
K2 Offspring,<div>Since 2023</div>,-159.3673611,21.9761667
K2 Offspring,"<div>Since 2023, not there 2025</div>",-159.3671944,21.9760278
K2 Offspring,,-159.3671111,21.9760833
K2 Offspring,,-159.3671667,21.9760278
K2 Offspring,,-159.3671667,21.9760833
K2 Offspring,,-159.3673889,21.9761667
K2 Offspring,,-159.3668056,21.9761944
K2 Offspring,,-159.36675,21.9760278
K2 Offspring,,-159.3648056,21.9768611
K2 Offspring,,-159.3645278,21.9768056
K2 Offspring,,-159.3682222,21.9751389
K2 Offspring,,-159.3671667,21.9758889
K2 Offspring,,-159.3674167,21.9760833
K2 Offspring,,-159.3675278,21.9764444
K2 Offspring,,-159.3675556,21.9764444
K2 Offspring,,-159.3675556,21.9764167
K2 Offspring,,-159.3675833,21.9764167
K2 Offspring,,-159.3670833,21.9765
K2 Offspring,,-159.3653889,21.9761667
K2 Offspring,,-159.3653611,21.9761944
K2 Offspring,<div>2023-2024</div>,-159.365,21.9763611
K2 Offspring,<div>Gone in 2025</div>,-159.3672222,21.9760556
K2 Offspring,<div>Gone in 2025<br></div>,-159.36725,21.9760833
K2 Offspring,<div>Gone in 2025<br></div>,-159.3671667,21.9761389
K2 Offspring,<div>Gone in 2025<br></div>,-159.3671389,21.9761389
K2 Offspring,<div>Gone in 2025<br></div>,-159.3670833,21.97625
K2 Offspring,<div>Gone in 2025<br></div>,-159.3670278,21.9763056
K2 Offspring,<div>Gone in 2025<br></div>,-159.367,21.9763056
K2 Offspring,<div>Gone in 2025<br></div>,-159.3669444,21.97625
K2 Offspring,<div>Gone in 2025<br></div>,-159.3668611,21.9762778
K2 Offspring,<div>Gone in 2025<br></div>,-159.3667778,21.9763056
K2 Offspring,<div>Gone in 2025<br></div>,-159.36675,21.9762778
K2 Offspring,<div>Gone in 2025<br></div>,-159.3666389,21.9762222
K2 Offspring,<div>Gone in 2025<br></div>,-159.3660278,21.9759722
K2 Offspring,<div>Gone in 2025<br></div>,-159.3664444,21.976
K2 Offspring,<div>Gone in 2025<br></div>,-159.3664722,21.9760556
K2 Offspring,<div>Gone in 2025<br></div>,-159.3665833,21.9754722
K2 Offspring,<div>Gone in 2025<br></div>,-159.3671111,21.9758889
K2 Offspring,<div>Gone/Dead 2025</div>,-159.3689167,21.9768056
K2 Offspring,,-159.3671667,21.9760556
K2 Offspring,,-159.367,21.9762222
K2 Offspring,,-159.3666667,21.9755556
K4,<div>Planted sapling<br></div>,-159.384475,22.20865
K5,<div>K Adult mother fruiting<br></div>,-159.383659247757,22.21180757371483
K5 Offspring,<div>New in 2025</div>,-159.38275,22.2100833
K5 Offspring,<div>New in 2025<br></div>,-159.38275,22.2100556
K5 Offspring,<div>New in 2025<br></div>,-159.3827778,22.2100556
K5 Offspring,<div>New in 2025<br></div>,-159.3828333,22.21
K5 Offspring,<div>New in 2025<br></div>,-159.3828056,22.21
K5 Offspring,<div>New in 2025<br></div>,-159.3827778,22.2100278
K5 Offspring,<div>New in 2025<br></div>,-159.3838333,22.2118611
K5 Offspring,<div>New in 2025<br></div>,-159.3838889,22.2118333
K5 Offspring,<div>New in 2025<br></div>,-159.3838889,22.2118056
K5 Offspring,<div>New in 2025<br></div>,-159.3835833,22.2122778
K5 Offspring,<div>New in 2025<br></div>,-159.3835,22.2113611
K5 Offspring,<div>New in 2025</div>,-159.3823056,22.2116111
K5 Offspring,<div>New in 2025</div>,-159.3827222,22.2100833
K5 Offspring,<div>New in 2025</div>,-159.3826944,22.2101111
K5 Offspring,<div>New in 2025<br></div>,-159.3826944,22.2101389
K5 Offspring,<div>New to 2025</div>,-159.3826944,22.2101667
K5 Offspring,<div>New in 2025</div>,-159.3826667,22.2101944
K5 Offspring,<div>New in 2025</div>,-159.3826667,22.2102222
K5 Offspring,<div>New in 2025<br></div>,-159.3826667,22.21025
K5 Offspring,<div>New in 2025<br></div>,-159.3826389,22.2102778
K5 Offspring,<div>New in 2025<br></div>,-159.3826389,22.2103611
K5 Offspring,<div>New in 2025<br></div>,-159.3836944,22.2119444
K5 Offspring,<div>New in 2025<br></div>,-159.3836944,22.2119167
K5 Offspring,<div>New in 2025<br></div>,-159.3836667,22.2119167
K5 Offspring,<div>New in 2025<br></div>,-159.3833611,22.2114444
K5 Offspring,<div>New in 2025<br></div>,-159.38325,22.2114444
K5 Offspring,<div>New in 2025<br></div>,-159.3831389,22.2115278
K5 Offspring,<div>New in 2025<br></div>,-159.3827222,22.2115833
K5 Offspring,<div>New in 2025<br></div>,-159.3825,22.2115833
K5 Offspring,<div>New in 2025<br></div>,-159.3813889,22.2118056
K5 Offspring,<div>New in 2025<br></div>,-159.3836667,22.2110556
K5 Offspring,,-159.3828889,22.2099444
K5 Offspring,,-159.3837222,22.2118611
K5 Offspring,,-159.3835556,22.2118889
K5 Offspring,,-159.3838333,22.2118333
K5 Offspring,,-159.3838333,22.2118056
K5 Offspring,,-159.3838333,22.2117778
K5 Offspring,,-159.3838333,22.2117778
K5 Offspring,,-159.3838611,22.2118056
K5 Offspring,,-159.3839167,22.2118333
K5 Offspring,,-159.3838611,22.2118056
K5 Offspring,,-159.3838611,22.2118056
K5 Offspring,,-159.3838333,22.2119722
K5 Offspring,,-159.3838056,22.2119722
K5 Offspring,,-159.3839722,22.2119722
K5 Offspring,,-159.3839444,22.2105833
K5 Offspring,,-159.3836667,22.211
K5 Offspring,,-159.3836389,22.2110833
K5 Offspring,,-159.3833889,22.2114444
K5 Offspring,<div>2023-2025</div>,-159.3828889,22.2099167
K5 Offspring,<div>2023-2025<br></div>,-159.3838889,22.2119722
K5 Offspring,"<div>Older than 2023, still there 2025</div>",-159.3828889,22.2116944
K5 Offspring,<div>2023-2025</div>,-159.3830833,22.2116667
K80,<div>New planted tree from the Lawai international center<br></div>,-159.509247,21.924507
K73,<div>Second generation adult</div>,-159.7088056,21.9679722
K3,<div>K Adult mother tree<br></div>,-159.593462,21.907638
K3 Offspring 2023,<div>Offspring 1 year old 2023<br></div><div>Not there in future years<br></div>,-159.593548,21.907615
K3 Offspring 2024,<div>One year old<br></div><div>Not found in future years</div>,-159.594389,21.907899
K21 Offspring 2024,<div>Found in 2024<br></div>,-159.7113611,21.9692222
K21 Offspring,<div>New in 2025</div>,-159.7109444,21.9689722
K20 Offspring,<div>New in 2025</div>,-159.7111703743795,21.96911447472501
K21 Offspring,<div>New in 2025<br></div><div><br></div>,-159.7108611,21.9689444
K21,,-159.711309569977,21.96884488852501
O Offspring,,-157.8592222,21.3168333
O Offspring,,-157.8592222,21.3168611
O30,<div>Fruiting adult next to main Foster tree</div>,-157.8579722,21.317
O Offspring,,-157.8555556,21.2980278
O34,"<div>Didn't see any fruit, looked about 17, but offspring was near by</div>",-157.83275,21.4309167
O35,,-158.0558333,21.6416111
O36,,-157.8441944,21.2946389
O32,<div>Fruiting Adult</div>,-157.8582778,21.3018056
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586944,21.3022222
O Offspring,<div>Likely offspring of O32<br></div>,-157.8585,21.3018056
O Offspring,<div>Likely offspring of O32<br></div>,-157.8585278,21.3018056
O Offspring,<div>Likely offspring of O32<br></div><div><br></div>,-157.8585556,21.3018611
O Offspring,<div>Likely offspring of O32<br></div><div><br></div>,-157.8585556,21.3018889
O Offspring,<div>Likely offspring of O32<br></div><div><br></div>,-157.8586389,21.302
O Offspring,<div>Likely offspring of O32<br></div><div><br></div>,-157.8586111,21.3019722
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586111,21.3019444
O Offspring,<div>Likely offspring of O32<br></div>,-157.8585833,21.3019444
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586667,21.3020556
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586944,21.3020556
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586667,21.3020278
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586667,21.3020278
O Offspring,<div>Likely offspring of O32<br></div>,-157.8587222,21.3020833
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586944,21.3020833
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586944,21.3020833
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586944,21.3020833
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586667,21.3020556
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586944,21.3020833
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586944,21.3020556
O Offspring,<div>Likely offspring of O32<br></div>,-157.8586667,21.3020556
O Offspring,<div>About 5 years old</div>,-157.8560278,21.3003056
O31,<div>Fruiting Adult from 1969&nbsp;<br></div>,-157.8148056,21.30125
O Offspring,<div>UH Manoa Campus</div>,-157.8145278,21.3011667
O Offspring,<div>UH Manoa Campus<br></div>,-157.8148889,21.3009722
O Offspring,<div>UH Manoa Campus<br></div>,-157.8155,21.3010833
O Offspring,<div>UH Manoa Campus<br></div>,-157.8153611,21.3006667
O Offspring,<div>UH Manoa Campus<br></div>,-157.8153889,21.3008611
O Offspring,<div>UH Manoa Campus<br></div>,-157.8149167,21.3006944
O Offspring,<div>UH Manoa Campus<br></div>,-157.8148889,21.3006944
O Offspring,<div>UH Manoa Campus<br></div>,-157.8148889,21.3006667
O Offspring,<div>UH Manoa Campus<br></div>,-157.8149167,21.3006944
O Offspring,<div>UH Manoa Campus<br></div>,-157.8149167,21.3006667
O Offspring,<div>UH Manoa Campus<br></div>,-157.8148056,21.3006944
O Offspring,<div>UH Manoa Campus<br></div>,-157.8147222,21.3009167
O Offspring,<div>UH Manoa Campus<br></div>,-157.8142222,21.3009444
O Offspring,<div>UH Manoa Campus<br></div>,-157.8142222,21.3009722
O Offspring,<div>UH Manoa Campus<br></div>,-157.8141667,21.3009722
O Offspring,<div>UH Manoa Campus<br></div>,-157.8143056,21.3012778
O Offspring,<div>UH Manoa Campus<br></div>,-157.8148611,21.3019444
O Offspring,<div>UH Manoa Campus<br></div>,-157.8160278,21.3015
O Offspring,<div>UH Manoa Campus<br></div>,-157.8162222,21.3014444
O Offspring,<div>UH Manoa Campus<br></div>,-157.817,21.3014167
O Offspring,<div>UH Manoa Campus<br></div>,-157.817,21.3014167
O Offspring,<div>UH Manoa Campus<br></div>,-157.8138056,21.2995556
O Offspring,<div>UH Manoa Campus<br></div>,-157.8139444,21.3010556
O Offspring,<div>UH Manoa Campus<br></div>,-157.81375,21.2995833
