Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.90312E-13,0.000000001,0.000000001,0.996312905,0,0
6.85513E-13,0.000000003,0.000000001,0.993522671,0,0
1.60275E-12,0.00000001,0.000000003,0.986547085,0,0
2.58496E-12,0.000000025,0.000000005,0.979471849,0,0
7.4096E-12,0.0000001,0.000000014,0.963527653,0,0
1.58907E-11,0.000000251,0.000000029,0.95017439,0,0
4.61315E-11,0.000001001,0.000000085,0.925660189,0,0
8.78511E-11,0.000002501,0.000000161,0.901943199,0,0
3.90148E-10,0.00001,0.000000716,0.867065272,0,0
8.96631E-10,0.000025018,0.000001645,0.842850025,0,0
1.82611E-9,0.000050124,0.00000335,0.823517688,0,0
3.6741E-9,0.000100201,0.00000674,0.804683607,0,0
8.62558E-9,0.00025066,0.000015822,0.778973592,0,0
1.63199E-8,0.000500137,0.000029936,0.758545092,0,0
3.00856E-8,0.001002398,0.000055186,0.736821126,0,0
6.82133E-8,0.002501569,0.00012512,0.705032387,0,0
1.21209E-7,0.005003806,0.000222317,0.678126557,0,0
2.35125E-7,0.010011089,0.000431211,0.649227703,0,0
5.602E-7,0.025048587,0.00102708,0.60976582,0,0
1.01195E-6,0.050059001,0.001854551,0.577478824,0,0
1.84626E-6,0.100096219,0.003380982,0.541504733,0,0
3.4877E-6,0.200036548,0.006377277,0.503039362,0,0
5.07992E-6,0.300450687,0.009275104,0.479621325,0,0
6.74895E-6,0.400226411,0.01230368,0.462780269,0,0
8.22076E-6,0.500328797,0.014966685,0.449427005,0,0
9.84254E-6,0.600330623,0.017892728,0.43836572,0,0
1.1356E-5,0.700175604,0.020615469,0.428998505,0,0
1.18645E-5,0.750204862,0.021528611,0.424713503,0,0
1.24889E-5,0.800002982,0.022648768,0.420627803,0,0
1.38466E-5,0.900500633,0.025079714,0.41305431,0,0
1.50876E-5,1.001244757,0.027296659,0.406078724,0,0
1.61529E-5,1.101263102,0.029195492,0.399701046,0,0
1.75105E-5,1.200662331,0.031610219,0.393821624,0,0
1.89201E-5,1.301007401,0.034110822,0.388340807,0,0
1.98919E-5,1.400126741,0.035831103,0.383258595,0,0
2.10832E-5,1.500443114,0.037935855,0.378375685,0,0
2.45397E-5,1.750961921,0.044016389,0.367414051,0.015151515,0
2.80523E-5,2.002795797,0.050156353,0.357847534,0.03030303,0
3.12537E-5,2.250744307,0.055718084,0.349576482,0.03030303,0
3.41615E-5,2.502490077,0.060741336,0.341903338,0.03030303,0
3.73315E-5,2.75227672,0.066187267,0.334927753,0.045454545,0
3.99689E-5,3.003397228,0.070694067,0.328450424,0.045454545,0
4.2632E-5,3.251883988,0.0752227,0.32247135,0.045454545,0
4.50384E-5,3.50172584,0.07929585,0.316791231,0.045454545,0
4.74853E-5,3.752291711,0.083419224,0.311410065,0.045454545,0
4.98362E-5,4.001188338,0.08736341,0.306327853,0.045454545,0
5.18063E-5,4.254998163,0.090655608,0.301345291,0.045454545,0
5.37621E-5,4.503536871,0.093912136,0.296661684,0.045454545,0
5.61462E-5,4.751244186,0.097866041,0.292177379,0.045454545,0
5.81333E-5,5.002410955,0.101148413,0.287792725,0.045454545,0
6.05667E-5,5.252525157,0.105151575,0.283607374,0.045454545,0
6.22937E-5,5.504486298,0.107981966,0.279521674,0.045454545,0
6.4962E-5,5.751881998,0.112337351,0.275635277,0.045454545,0
6.73323E-5,6.002686464,0.116188549,0.27184853,0.045454545,0
6.90756E-5,6.254638153,0.119010358,0.268161435,0.060606061,0
7.09957E-5,6.506403639,0.122107822,0.264573991,0.060606061,0
7.31259E-5,6.751174455,0.125531575,0.26118585,0.075757576,0
7.53038E-5,7.003684377,0.129018219,0.257797708,0.075757576,0
7.72242E-5,7.256024789,0.1320809,0.254509218,0.075757576,0
7.91374E-5,7.505959105,0.135121534,0.251320379,0.075757576,0
8.12055E-5,7.754928344,0.138396472,0.248231191,0.075757576,0
8.25523E-5,8.000846061,0.14052231,0.245241654,0.075757576,0
8.42353E-5,8.250718515,0.143171709,0.242252118,0.075757576,0
8.61842E-5,8.507125158,0.146229303,0.239262581,0.075757576,0
8.72856E-5,8.758619189,0.147952603,0.236372696,0.075757576,0
8.80266E-5,9.003994212,0.149109887,0.233582461,0.075757576,0
8.95362E-5,9.252737152,0.15146293,0.230792227,0.075757576,0
9.09594E-5,9.505758134,0.153675245,0.228001993,0.090909091,0
9.25188E-5,9.753490663,0.15609273,0.22531141,0.090909091,0
9.45338E-5,10.006214811,0.159206254,0.222620827,0.090909091,0
9.5831E-5,10.253528594,0.161204606,0.220029895,0.090909091,0
9.76427E-5,10.504920874,0.163987473,0.217438964,0.106060606,0
9.9859E-5,10.752181338,0.167379336,0.214947683,0.106060606,0
1.01259E-4,11.003753048,0.169515606,0.212456403,0.106060606,0
1.02933E-4,11.259353324,0.172060909,0.209965122,0.106060606,0
1.04665E-4,11.508827221,0.174687964,0.207573493,0.106060606,0
1.06086E-4,11.751028198,0.176836227,0.205281515,0.106060606,0
1.08113E-4,12.00877609,0.179891418,0.202889885,0.106060606,0
1.09767E-4,12.259192312,0.182375394,0.200597907,0.106060606,0
1.11702E-4,12.502908683,0.185272821,0.19840558,0.106060606,0
1.12916E-4,12.750290209,0.187085009,0.196213254,0.106060606,0
1.14304E-4,13.000154758,0.189152521,0.194020927,0.106060606,0
1.16159E-4,13.25392959,0.191906313,0.1918286,0.106060606,0
1.17862E-4,13.511480422,0.194426728,0.189636273,0.136363636,0
1.19194E-4,13.760391132,0.196392591,0.187543597,0.136363636,0
1.21176E-4,14.000896313,0.199308746,0.185550573,0.136363636,0
1.23229E-4,14.257380075,0.202319353,0.183457897,0.136363636,0
1.25065E-4,14.505681186,0.205001046,0.181464873,0.136363636,0
1.26414E-4,14.756961973,0.206966145,0.179471849,0.136363636,0
1.28443E-4,15.011629679,0.209911581,0.177478824,0.136363636,0
1.30117E-4,15.257308232,0.212333376,0.175585451,0.151515152,0
1.31873E-4,15.506028151,0.214867724,0.173692078,0.151515152,0
1.33544E-4,15.758226486,0.217269899,0.171798705,0.151515152,0
1.35065E-4,16.013203407,0.219450737,0.169905331,0.151515152,0
1.36133E-4,16.257351457,0.220978663,0.168111609,0.166666667,0
1.38008E-4,16.504007693,0.223652926,0.166317887,0.166666667,0
1.39844E-4,16.753962288,0.226262917,0.164524165,0.166666667,0
1.41949E-4,17.007632819,0.229244812,0.162730443,0.166666667,0
1.43424E-4,17.250237811,0.231328412,0.161036373,0.166666667,0
1.45415E-4,17.510203479,0.234130918,0.159242651,0.166666667,0
1.47157E-4,17.758869869,0.236572972,0.15754858,0.166666667,0
1.49722E-4,18.010711115,0.240157416,0.155854509,0.166666667,0
1.5103E-4,18.251294397,0.241978822,0.15426009,0.166666667,0
1.52578E-4,18.509398132,0.244128046,0.152566019,0.166666667,0
1.54545E-4,18.754998031,0.246850693,0.150971599,0.166666667,0
1.56983E-4,19.004336613,0.250211318,0.14937718,0.166666667,0
1.58453E-4,19.256845281,0.252229926,0.14778276,0.166666667,0
1.60579E-4,19.512298891,0.255140238,0.146188341,0.166666667,0
1.63556E-4,19.755720954,0.259197386,0.144693572,0.181818182,0
1.64778E-4,20.001920401,0.260854878,0.143198804,0.181818182,0
1.66518E-4,20.250516998,0.263210836,0.141704036,0.181818182,0
1.68236E-4,20.501442812,0.265529485,0.140209268,0.181818182,0
1.71977E-4,20.756625378,0.27055266,0.138714499,0.181818182,0
1.74134E-4,21.015820245,0.273433054,0.137219731,0.181818182,0
1.76334E-4,21.261097614,0.276358278,0.135824614,0.181818182,0
1.78177E-4,21.50948267,0.278801809,0.134429497,0.181818182,0
1.80075E-4,21.75999176,0.281308302,0.13303438,0.181818182,0
1.82742E-4,22.014652927,0.284814573,0.131639263,0.181818182,0
1.84607E-4,22.253412389,0.28725797,0.130343797,0.181818182,0
1.86842E-4,22.513682949,0.290174416,0.12894868,0.196969697,0
1.88318E-4,22.757720617,0.292092867,0.127653214,0.196969697,0
1.90367E-4,23.004285937,0.294748207,0.126357748,0.196969697,0
1.92098E-4,23.253003276,0.296985033,0.125062282,0.196969697,0
1.93138E-4,23.503264417,0.298324276,0.123766816,0.196969697,0
