Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.89602E-13,0.000000001,0,0.990333832,0,0
3.56209E-13,0.000000003,0.000000001,0.984653712,0,0
8.27227E-13,0.00000001,0.000000002,0.970802192,0,0
1.60065E-12,0.000000025,0.000000003,0.958246139,0,0
5.12044E-12,0.0000001,0.000000009,0.935127055,0,0
9.81929E-12,0.00000025,0.000000018,0.91429995,0,0
4.39113E-11,0.000001001,0.00000008,0.880916791,0,0
1.10361E-10,0.000002508,0.0000002,0.859890384,0,0
4.3976E-10,0.000010016,0.000000798,0.827703039,0,0
1.00141E-9,0.000025065,0.000001817,0.805979073,0,0
2.02166E-9,0.000050043,0.000003668,0.789138017,0,0
4.04502E-9,0.000100051,0.00000734,0.771898356,0,0
8.92959E-9,0.00025046,0.000016203,0.747982063,0,0
1.80425E-8,0.000500433,0.000032738,0.729347285,0,0
3.53578E-8,0.00100348,0.000064156,0.710014948,0,0
7.59928E-8,0.002500124,0.000137882,0.682311908,0,0
1.40461E-7,0.005004306,0.000254839,0.658495267,0,0
2.49688E-7,0.010015191,0.000452963,0.632386647,0,0
5.61549E-7,0.025041829,0.001018429,0.594519183,0,0
1.03784E-6,0.050031552,0.001881425,0.562630792,0,0
1.93183E-6,0.100069593,0.003499222,0.527852516,0,0
3.66696E-6,0.20032599,0.00663173,0.491280518,0,0
5.29144E-6,0.300250598,0.009555532,0.468858994,0,0
7.01264E-6,0.400691675,0.012644044,0.452516193,0,0
8.55279E-6,0.500739601,0.015399506,0.439760837,0,0
1.01209E-5,0.600850846,0.018197111,0.429098156,0,0
1.15828E-5,0.701034144,0.020798024,0.419930244,0,0
1.23715E-5,0.750185652,0.022198429,0.415844544,0,0
1.31199E-5,0.801067744,0.023525382,0.411858495,0,0
1.47511E-5,0.900398675,0.026411274,0.404783259,0,0
1.58536E-5,1.001328512,0.028357001,0.398206278,0,0
1.71368E-5,1.100473934,0.030616846,0.392227205,0,0
1.84502E-5,1.200098516,0.032924225,0.386646736,0,0
1.97608E-5,1.300107506,0.035221368,0.381464873,0,0
2.10745E-5,1.400231717,0.037518431,0.376581963,0,0
2.22527E-5,1.500416606,0.039573913,0.371998007,0,0
2.54453E-5,1.751316158,0.045121665,0.361534629,0.015151515,0
2.85023E-5,2.001421757,0.050403718,0.352267065,0.015151515,0
3.11401E-5,2.252101301,0.054937886,0.343896363,0.03030303,0
3.3965E-5,2.500940909,0.059769823,0.336223219,0.03030303,0
3.67922E-5,2.751701719,0.064580822,0.329147982,0.03030303,0
3.90781E-5,3.001966376,0.06845284,0.322571001,0.03030303,0
4.15907E-5,3.252703646,0.072690336,0.316392626,0.03030303,0
4.37764E-5,3.504281044,0.076360743,0.310513204,0.045454545,0
