Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.30743E-13,0.000000001,0.000000001,0.997506732,0,0
8.16692E-13,0.000000003,0.000000001,0.995212925,0,0
2.13338E-12,0.00000001,0.000000004,0.990126658,0,0
4.04691E-12,0.000000025,0.000000007,0.985040391,0,0
8.78806E-12,0.0000001,0.000000015,0.973471627,0,0
1.76694E-11,0.000000251,0.000000031,0.961902862,0,0
5.91369E-11,0.000001004,0.000000104,0.940460756,0,0
1.07024E-10,0.000002505,0.000000189,0.922509225,0,0
4.05774E-10,0.000010016,0.000000715,0.886306971,0,0
9.45531E-10,0.000025037,0.000001666,0.863468635,0,0
1.79547E-9,0.000050138,0.000003164,0.844918719,0,0
3.50056E-9,0.000100085,0.000006169,0.825570958,0,0
8.15992E-9,0.000250373,0.000014379,0.799042585,0,0
1.5142E-8,0.000500316,0.000026683,0.777301287,0,0
2.90636E-8,0.001000689,0.000051215,0.75446295,0,0
7.08051E-8,0.002502319,0.000124765,0.722648848,0,0
1.31949E-7,0.005006161,0.000232494,0.697716166,0,0
2.34967E-7,0.010000619,0.000413975,0.669891294,0,0
5.4937E-7,0.025022522,0.000967633,0.629400618,0,0
1.00187E-6,0.050028145,0.001763937,0.596290017,0,0
1.8385E-6,0.100139462,0.003234563,0.560386955,0,0
3.28762E-6,0.200250712,0.005776709,0.519796549,0,0
4.68684E-6,0.300143478,0.008225156,0.494564675,0,0
6.14788E-6,0.400530133,0.010775332,0.476114491,0,0
7.72728E-6,0.500347031,0.013524747,0.461753266,0,0
9.25305E-6,0.60026595,0.016173523,0.44998504,0,0
1.04468E-5,0.700213432,0.018241011,0.439812506,0,0
1.10977E-5,0.750773262,0.019366445,0.435125162,0,0
1.17358E-5,0.800938084,0.020468456,0.43073701,0,0
1.33292E-5,0.901239239,0.023215003,0.422758552,0,0
1.45348E-5,1.000335979,0.025288078,0.41567767,0,0
1.57875E-5,1.100774242,0.027437348,0.409095442,0,0
1.68719E-5,1.200275051,0.02929404,0.403011868,0,0
1.83638E-5,1.301200868,0.031842746,0.397327217,0,0
1.95186E-5,1.401455853,0.033810959,0.392041488,0,0
2.06031E-5,1.501775676,0.035655571,0.387054952,0,0
2.32967E-5,1.75164494,0.040222217,0.375685649,0,0
2.62791E-5,2.002011168,0.045253172,0.365612845,0,0
2.90771E-5,2.251437623,0.049949169,0.35663708,0,0.071428571
3.23315E-5,2.500907874,0.05538198,0.348558891,0.019230769,0.071428571
3.51867E-5,2.751804604,0.060122845,0.341178817,0.038461538,0.142857143
3.80535E-5,3.000608422,0.06485905,0.334397128,0.038461538,0.142857143
4.10597E-5,3.253779754,0.069799782,0.328014361,0.038461538,0.214285714
4.37215E-5,3.503203488,0.074152793,0.322130248,0.038461538,0.214285714
4.60692E-5,3.750259682,0.077975277,0.316645058,0.038461538,0.214285714
4.90651E-5,4.002243603,0.082830237,0.31135933,0.038461538,0.214285714
5.13597E-5,4.253831025,0.08653128,0.306372793,0.038461538,0.214285714
5.39129E-5,4.501391523,0.090632077,0.301685449,0.038461538,0.214285714
5.61655E-5,4.754311556,0.094234569,0.297097836,0.038461538,0.214285714
5.7868E-5,5.005492408,0.096947972,0.292709684,0.038461538,0.214285714
5.95268E-5,5.252169051,0.099583819,0.288520993,0.038461538,0.214285714
6.17129E-5,5.500655514,0.10304602,0.284432034,0.038461538,0.214285714
6.41392E-5,5.752665187,0.106872749,0.280442804,0.038461538,0.214285714
6.59098E-5,6.006584699,0.109655232,0.276553306,0.038461538,0.214285714
6.7918E-5,6.254091298,0.112800425,0.272863269,0.038461538,0.214285714
6.98196E-5,6.502192083,0.11576835,0.269272963,0.038461538,0.214285714
7.1279E-5,6.756451704,0.11803953,0.265682657,0.038461538,0.214285714
7.33194E-5,7.00226966,0.121204964,0.262291812,0.038461538,0.214285714
7.56218E-5,7.25561906,0.124763244,0.258900967,0.038461538,0.214285714
7.73265E-5,7.500365143,0.127388551,0.255709584,0.038461538,0.214285714
7.93885E-5,7.751321453,0.130553707,0.252518201,0.057692308,0.214285714
8.14603E-5,8.000383527,0.133722082,0.249426548,0.057692308,0.214285714
8.33084E-5,8.255847877,0.136538755,0.246334896,0.076923077,0.214285714
8.55703E-5,8.501227676,0.139973625,0.243442705,0.076923077,0.214285714
8.6746E-5,8.751288667,0.141753564,0.240550514,0.076923077,0.214285714
8.90454E-5,9.006504027,0.145224122,0.237658323,0.076923077,0.214285714
9.02909E-5,9.257743437,0.147098156,0.234865862,0.076923077,0.214285714
9.19414E-5,9.503724145,0.149575345,0.232173133,0.076923077,0.214285714
9.34446E-5,9.753849376,0.151825058,0.229480403,0.076923077,0.214285714
9.52827E-5,10.009151536,0.154567932,0.226787673,0.076923077,0.214285714
9.6334E-5,10.258083313,0.156132772,0.224194674,0.076923077,0.214285714
9.83145E-5,10.501379837,0.159072695,0.221701406,0.076923077,0.214285714
9.99007E-5,10.759225478,0.161419942,0.219108407,0.076923077,0.214285714
1.0222E-4,11.001678113,0.164841055,0.21671487,0.076923077,0.214285714
1.04347E-4,11.26000536,0.167964934,0.214221602,0.076923077,0.214285714
1.05986E-4,11.50186968,0.170364532,0.211927795,0.076923077,0.214285714
1.07581E-4,11.75797889,0.172693703,0.209534258,0.076923077,0.214285714
1.09265E-4,12.007492709,0.17514417,0.207240451,0.076923077,0.214285714
1.1078E-4,12.25013528,0.177343945,0.205046375,0.076923077,0.214285714
1.12348E-4,12.506754176,0.179613226,0.202752568,0.076923077,0.214285714
1.13846E-4,12.75585012,0.181776785,0.200558492,0.076923077,0.214285714
1.16053E-4,13.008796766,0.184952054,0.198364416,0.076923077,0.214285714
1.17618E-4,13.253975189,0.187197391,0.196270071,0.076923077,0.214285714
1.19659E-4,13.503448887,0.19011511,0.194175726,0.076923077,0.214285714
1.21048E-4,13.755896866,0.19209557,0.19208138,0.076923077,0.214285714
1.22687E-4,14.011987506,0.19442539,0.189987035,0.076923077,0.214285714
1.24248E-4,14.25890323,0.196638732,0.18799242,0.076923077,0.214285714
1.25397E-4,14.508558589,0.198262598,0.185997806,0.076923077,0.214285714
1.26451E-4,14.760485675,0.199751158,0.184003191,0.076923077,0.214285714
1.28361E-4,15.002510149,0.202439764,0.182108308,0.076923077,0.214285714
1.29715E-4,15.26057239,0.204339975,0.180113693,0.076923077,0.214285714
1.31114E-4,15.508274961,0.20629936,0.178218809,0.076923077,0.285714286
1.32349E-4,15.758384787,0.208025493,0.176323925,0.076923077,0.285714286
1.33602E-4,16.011327733,0.209772676,0.174429042,0.096153846,0.285714286
1.35063E-4,16.253069224,0.211804545,0.172633889,0.096153846,0.285714286
1.36624E-4,16.511179669,0.213969246,0.170739005,0.096153846,0.285714286
1.38518E-4,16.759215389,0.216588331,0.168943852,0.096153846,0.285714286
1.39878E-4,17.00954238,0.218463379,0.167148699,0.096153846,0.285714286
1.41198E-4,17.262392934,0.220278897,0.165353545,0.096153846,0.285714286
1.44415E-4,17.505178135,0.224686464,0.163658123,0.096153846,0.285714286
1.45967E-4,17.752203496,0.226804618,0.161962701,0.096153846,0.285714286
1.48234E-4,18.002324698,0.229887643,0.160267278,0.096153846,0.285714286
1.50573E-4,18.256359749,0.233054692,0.158571856,0.096153846,0.357142857
1.52109E-4,18.513730468,0.235127573,0.156876434,0.096153846,0.357142857
1.53088E-4,18.757774166,0.236446361,0.155280742,0.096153846,0.357142857
1.54411E-4,19.003686831,0.238224565,0.15368505,0.115384615,0.357142857
1.56095E-4,19.251928026,0.240481335,0.152089359,0.115384615,0.357142857
1.5726E-4,19.502732534,0.242039654,0.150493667,0.115384615,0.357142857
1.5835E-4,19.755222157,0.243494242,0.148897975,0.134615385,0.357142857
1.60514E-4,20.010575226,0.246373796,0.147302284,0.134615385,0.357142857
1.61992E-4,20.252144591,0.248334201,0.145806323,0.134615385,0.357142857
1.63335E-4,20.512437086,0.250110776,0.144210631,0.134615385,0.357142857
1.6518E-4,20.758614362,0.252544862,0.14271467,0.134615385,0.357142857
1.67111E-4,21.008093664,0.2550834,0.141218709,0.134615385,0.357142857
1.70493E-4,21.261592372,0.25951011,0.139722749,0.134615385,0.357142857
1.73088E-4,21.50191596,0.262888389,0.138326518,0.134615385,0.357142857
1.74407E-4,21.762508357,0.264599769,0.136830557,0.134615385,0.357142857
1.75975E-4,22.008002515,0.266629079,0.135434327,0.173076923,0.357142857
1.77297E-4,22.255300036,0.268335437,0.134038097,0.173076923,0.357142857
1.79126E-4,22.50481326,0.270690378,0.132641867,0.192307692,0.357142857
1.8097E-4,22.756913296,0.273056228,0.131245637,0.192307692,0.357142857
1.82749E-4,23.011499194,0.275331338,0.129849407,0.211538462,0.357142857
1.84042E-4,23.250027401,0.276980461,0.128552907,0.211538462,0.357142857
1.8588E-4,23.508936462,0.279318642,0.127156677,0.211538462,0.357142857
1.8714E-4,23.751295583,0.280916876,0.125860178,0.211538462,0.357142857
1.88981E-4,24.014695679,0.283245866,0.124463947,0.211538462,0.357142857
1.90108E-4,24.261250629,0.284667725,0.123167448,0.211538462,0.357142857
1.91047E-4,24.508979025,0.285850512,0.121870948,0.211538462,0.357142857
1.92344E-4,24.758320836,0.287481519,0.120574449,0.211538462,0.357142857
1.94288E-4,25.00977704,0.289918118,0.11927795,0.230769231,0.357142857
1.957E-4,25.263154767,0.29168238,0.11798145,0.230769231,0.357142857
1.98509E-4,25.51920935,0.295180366,0.116684951,0.230769231,0.357142857
1.99781E-4,25.758317705,0.296758808,0.115488182,0.230769231,0.357142857
2.0097E-4,26.018754747,0.298230374,0.114191682,0.230769231,0.357142857
2.02625E-4,26.261007329,0.300273779,0.112994914,0.230769231,0.357142857
2.04341E-4,26.505365878,0.30238668,0.111798145,0.230769231,0.357142857
2.06571E-4,26.751793843,0.305122901,0.110601376,0.230769231,0.357142857
2.07981E-4,27.000560866,0.306847367,0.109404608,0.230769231,0.357142857
2.10039E-4,27.251348777,0.30935623,0.108207839,0.230769231,0.357142857
2.12289E-4,27.50513939,0.312089695,0.10701107,0.230769231,0.357142857
2.13901E-4,27.761069075,0.314040755,0.105814301,0.230769231,0.357142857
2.15385E-4,28.018981656,0.315832618,0.104617533,0.230769231,0.357142857
2.18235E-4,28.257670215,0.319259142,0.103520495,0.230769231,0.357142857
2.19878E-4,28.520520461,0.321227764,0.102323726,0.230769231,0.357142857
2.22874E-4,28.764238244,0.324802375,0.101226688,0.230769231,0.357142857
2.24209E-4,29.010364319,0.326388916,0.10012965,0.230769231,0.357142857
2.27382E-4,29.259150332,0.330144258,0.099032612,0.230769231,0.357142857
2.29015E-4,29.510278852,0.332068991,0.097935574,0.25,0.357142857
2.32424E-4,29.764386303,0.336069916,0.096838536,0.269230769,0.357142857
2.33716E-4,30.020796169,0.337579849,0.095741498,0.269230769,0.357142857
2.35675E-4,30.255685824,0.339862646,0.094744191,0.288461538,0.357142857
2.37293E-4,30.515688238,0.341741514,0.093647153,0.288461538,0.357142857
2.38323E-4,30.753562609,0.342935914,0.092649845,0.288461538,0.357142857
2.40901E-4,31.017152663,0.345914425,0.091552807,0.288461538,0.357142857
2.42273E-4,31.258887859,0.347493669,0.0905555,0.288461538,0.357142857
2.43645E-4,31.502013362,0.349069077,0.089558193,0.307692308,0.357142857
2.46927E-4,31.771639045,0.352823257,0.088461155,0.307692308,0.357142857
2.48661E-4,32.01988034,0.354797312,0.087463848,0.307692308,0.357142857
2.50277E-4,32.269619563,0.356632303,0.08646654,0.307692308,0.357142857
2.53663E-4,32.52178912,0.36045948,0.085469233,0.307692308,0.357142857
2.5767E-4,32.75289254,0.364959748,0.084571657,0.307692308,0.357142857
2.60353E-4,33.011987992,0.367955539,0.083574349,0.307692308,0.357142857
2.62086E-4,33.273545393,0.36988284,0.082577042,0.307692308,0.357142857
2.65186E-4,33.510934588,0.373314769,0.081679465,0.307692308,0.357142857
2.67662E-4,33.751007935,0.376043604,0.080781889,0.307692308,0.357142857
2.69663E-4,34.01941376,0.378240256,0.079784582,0.326923077,0.357142857
2.71922E-4,34.263362402,0.380709687,0.078887005,0.346153846,0.357142857
2.74686E-4,34.509669998,0.383719095,0.077989429,0.346153846,0.357142857
2.78101E-4,34.758541217,0.387417223,0.077091852,0.346153846,0.357142857
2.80224E-4,35.009913292,0.389703874,0.076194275,0.346153846,0.357142857
2.83477E-4,35.263930387,0.393193097,0.075296699,0.346153846,0.357142857
2.8715E-4,35.520877977,0.397107438,0.074399122,0.346153846,0.357142857
2.90141E-4,35.751746549,0.400276716,0.073601277,0.346153846,0.357142857
2.94979E-4,36.014645813,0.405368152,0.0727037,0.365384615,0.357142857
2.97406E-4,36.251622379,0.407905695,0.071905854,0.365384615,0.357142857
2.99486E-4,36.520147932,0.410071855,0.071008278,0.365384615,0.357142857
3.03796E-4,36.761467418,0.41453624,0.070210432,0.365384615,0.357142857
3.07761E-4,37.006493358,0.418612399,0.069412586,0.365384615,0.357142857
3.09571E-4,37.253529362,0.42046358,0.06861474,0.365384615,0.357142857
3.14088E-4,37.502815683,0.425058373,0.067816894,0.365384615,0.357142857
3.18062E-4,37.756004465,0.429070381,0.067019049,0.365384615,0.357142857
3.20957E-4,38.011851057,0.431976111,0.066221203,0.365384615,0.357142857
3.25444E-4,38.270057986,0.436449204,0.065423357,0.365384615,0.357142857
3.27936E-4,38.531252055,0.4389192,0.064625511,0.365384615,0.357142857
3.32511E-4,38.762838058,0.443423709,0.063927396,0.384615385,0.357142857
3.34483E-4,39.029552551,0.445354785,0.06312955,0.384615385,0.357142857
3.38971E-4,39.265571937,0.449723924,0.062431435,0.384615385,0.357142857
3.43241E-4,39.504307781,0.453848788,0.06173332,0.384615385,0.357142857
3.45626E-4,39.77990173,0.456140244,0.060935474,0.384615385,0.357142857
3.46534E-4,40.022177311,0.457009316,0.060237359,0.384615385,0.357142857
3.51285E-4,40.266727955,0.461536009,0.059539244,0.384615385,0.357142857
3.55036E-4,40.514062941,0.465084172,0.058841129,0.384615385,0.357142857
3.57443E-4,40.763455882,0.467348031,0.058143014,0.384615385,0.357142857
3.60805E-4,41.015000906,0.47049467,0.057444899,0.384615385,0.357142857
3.63744E-4,41.268991815,0.473229672,0.056746784,0.384615385,0.428571429
3.66684E-4,41.525014737,0.475952057,0.056048669,0.384615385,0.428571429
3.69997E-4,41.782775462,0.479002115,0.055350554,0.384615385,0.428571429
3.71711E-4,42.005178093,0.480573682,0.054752169,0.384615385,0.428571429
3.73788E-4,42.26606362,0.482470983,0.054054054,0.384615385,0.428571429
3.79501E-4,42.530092129,0.487654905,0.053355939,0.384615385,0.428571429
3.86746E-4,42.760711462,0.494154571,0.052757555,0.384615385,0.428571429
3.8957E-4,43.032248756,0.496665838,0.05205944,0.384615385,0.428571429
3.92033E-4,43.267003173,0.498846139,0.051461055,0.384615385,0.428571429
3.95286E-4,43.503426495,0.501710413,0.050862671,0.384615385,0.428571429
3.99299E-4,43.781646676,0.505221801,0.050164556,0.384615385,0.428571429
4.01255E-4,44.021824694,0.506924717,0.049566171,0.384615385,0.428571429
4.04556E-4,44.263449012,0.509783992,0.048967787,0.384615385,0.428571429
4.07828E-4,44.507288591,0.512602559,0.048369403,0.384615385,0.5
4.13789E-4,44.753647539,0.51769577,0.047771018,0.384615385,0.571428571
4.18471E-4,45.003713498,0.521658746,0.047172634,0.384615385,0.571428571
4.23049E-4,45.25656368,0.525502101,0.04657425,0.384615385,0.571428571
4.2551E-4,45.510932868,0.527555529,0.045975865,0.384615385,0.571428571
4.28941E-4,45.767182292,0.53040319,0.045377481,0.384615385,0.571428571
4.39416E-4,46.028820764,0.538992364,0.044779096,0.384615385,0.571428571
4.45248E-4,46.294343493,0.543705735,0.044180712,0.384615385,0.571428571
4.4893E-4,46.518628849,0.546657017,0.043682058,0.384615385,0.571428571
4.53071E-4,46.789217844,0.549952773,0.043083674,0.384615385,0.571428571
4.58538E-4,47.017620332,0.554267446,0.04258502,0.403846154,0.642857143
4.63028E-4,47.294879955,0.557780687,0.041986636,0.403846154,0.642857143
4.65278E-4,47.5272743,0.559530277,0.041487982,0.403846154,0.642857143
4.6813E-4,47.760485867,0.56173906,0.040989329,0.403846154,0.642857143
4.72398E-4,48.04260092,0.565022484,0.040390944,0.403846154,0.642857143
4.75321E-4,48.279638774,0.567257011,0.039892291,0.423076923,0.642857143
4.80105E-4,48.518724075,0.57089051,0.039393637,0.423076923,0.642857143
4.86249E-4,48.760837152,0.575510755,0.038894984,0.423076923,0.642857143
4.88397E-4,49.004569445,0.577114896,0.03839633,0.423076923,0.642857143
4.92805E-4,49.250198878,0.580387018,0.037897676,0.423076923,0.642857143
4.98347E-4,49.548579982,0.584465143,0.037299292,0.423076923,0.642857143
5.02862E-4,49.799601492,0.587758283,0.036800638,0.423076923,0.642857143
5.03992E-4,50.001009398,0.588578004,0.036401715,0.423076923,0.642857143
5.09946E-4,50.254804581,0.592871953,0.035903062,0.423076923,0.642857143
5.20108E-4,50.512275686,0.600098331,0.035404408,0.423076923,0.642857143
5.31616E-4,50.775426867,0.608125992,0.034905754,0.423076923,0.642857143
5.36978E-4,51.042494002,0.611811423,0.034407101,0.423076923,0.642857143
5.41286E-4,51.258297362,0.614747552,0.034008178,0.423076923,0.642857143
5.42158E-4,51.529183196,0.615338663,0.033509524,0.442307692,0.642857143
5.45247E-4,51.801158654,0.617426668,0.033010871,0.461538462,0.642857143
5.4768E-4,52.020122143,0.619063921,0.032611948,0.461538462,0.642857143
5.54128E-4,52.295982001,0.623367758,0.032113294,0.461538462,0.642857143
5.63226E-4,52.520163002,0.62935782,0.031714371,0.461538462,0.642857143
5.69046E-4,52.803866211,0.633139564,0.031215718,0.461538462,0.642857143
5.72971E-4,53.032398392,0.635668444,0.030816795,0.461538462,0.642857143
5.75307E-4,53.261957452,0.637165362,0.030417872,0.461538462,0.642857143
5.78056E-4,53.550657068,0.638918719,0.029919218,0.461538462,0.642857143
5.81219E-4,53.782486344,0.64092576,0.029520295,0.461538462,0.642857143
5.91046E-4,54.017855135,0.647090236,0.029121372,0.461538462,0.642857143
5.96363E-4,54.255605333,0.650381412,0.028722449,0.461538462,0.642857143
6.0018E-4,54.554967836,0.652724958,0.028223796,0.461538462,0.642857143
6.0612E-4,54.796441866,0.656341487,0.027824873,0.461538462,0.642857143
6.11787E-4,55.039863198,0.65975636,0.02742595,0.461538462,0.642857143
6.14004E-4,55.285345426,0.661082732,0.027027027,0.461538462,0.642857143
6.18454E-4,55.531791552,0.663729963,0.026628104,0.461538462,0.642857143
6.25598E-4,55.780105302,0.667937103,0.026229181,0.461538462,0.642857143
6.28391E-4,56.030904873,0.669567089,0.025830258,0.461538462,0.642857143
6.35746E-4,56.284151379,0.673822559,0.025431335,0.480769231,0.642857143
6.45839E-4,56.541403552,0.679572504,0.025032412,0.480769231,0.642857143
6.50882E-4,56.801287679,0.682407603,0.02463349,0.480769231,0.642857143
6.63847E-4,57.063528587,0.689581289,0.024234567,0.5,0.642857143
6.70572E-4,57.26416075,0.693238281,0.023935374,0.5,0.642857143
6.81923E-4,57.536276431,0.699313554,0.023536452,0.5,0.642857143
6.88247E-4,57.810906164,0.70264574,0.023137529,0.5,0.642857143
6.92102E-4,58.018168455,0.704659052,0.022838336,0.5,0.642857143
6.97389E-4,58.296756597,0.707397628,0.022439414,0.5,0.642857143
7.04352E-4,58.506860686,0.710965862,0.022140221,0.5,0.642857143
7.14122E-4,58.790269808,0.715899605,0.021741298,0.5,0.642857143
7.24137E-4,59.006122177,0.720869586,0.021442106,0.5,0.642857143
7.39428E-4,59.299899342,0.728290733,0.021043183,0.5,0.642857143
7.45843E-4,59.523435361,0.731344576,0.020743991,0.5,0.642857143
7.53948E-4,59.823846449,0.735154779,0.020345068,0.5,0.642857143
7.56228E-4,60.050602575,0.736216672,0.020045876,0.5,0.642857143
7.60292E-4,60.278284812,0.738099027,0.019746684,0.5,0.642857143
7.7142E-4,60.508958515,0.743184814,0.019447492,0.5,0.642857143
7.85092E-4,60.81978769,0.74929818,0.019048569,0.5,0.642857143
7.89089E-4,61.056050105,0.751057771,0.018749377,0.5,0.642857143
7.99584E-4,61.294987477,0.755619403,0.018450185,0.5,0.642857143
8.10554E-4,61.537581467,0.760298263,0.018150992,0.5,0.642857143
8.18397E-4,61.782240158,0.763588459,0.0178518,0.5,0.642857143
8.28915E-4,62.029220153,0.76793001,0.017552608,0.5,0.642857143
8.39614E-4,62.28084735,0.772264613,0.017253416,0.5,0.642857143
8.70025E-4,62.540495755,0.784147667,0.016954224,0.5,0.642857143
8.80371E-4,62.803504777,0.788047206,0.016655031,0.519230769,0.642857143
8.88179E-4,63.068575476,0.790943642,0.016355839,0.519230769,0.642857143
9.00638E-4,63.337195865,0.79548342,0.016056647,0.519230769,0.642857143
9.29133E-4,63.521254953,0.805499591,0.015857186,0.519230769,0.642857143
