Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.77715E-13,0.000000001,0,0.988787937,0,0
3.46767E-13,0.000000003,0,0.983278562,0,0
7.55928E-13,0.00000001,0.000000001,0.970326696,0,0
1.27582E-12,0.000000025,0.000000001,0.955538372,0,0
5.08217E-12,0.0000001,0.000000004,0.927798183,0,0
1.29478E-11,0.000000251,0.000000011,0.910980089,0,0
5.19875E-11,0.000001001,0.000000044,0.884593079,0,0
1.13176E-10,0.000002504,0.000000095,0.866518461,0,0
3.8132E-10,0.00001001,0.000000321,0.833752175,0,0
8.78736E-10,0.000025073,0.00000074,0.808718345,0,0
1.75129E-9,0.000050101,0.000001475,0.790160448,0,0
3.31718E-9,0.000100105,0.000002793,0.770635995,0,0
7.46784E-9,0.000250025,0.000006288,0.743089117,0,0
1.38037E-8,0.000500246,0.000011623,0.719215156,0,0
2.64843E-8,0.001000938,0.0000223,0.694664605,0,0
5.5478E-8,0.002500418,0.000046712,0.658128745,0,0
9.42519E-8,0.005008357,0.000079358,0.625169147,0,0
1.66353E-7,0.010009112,0.000140062,0.587666731,0,0
3.71386E-7,0.025020024,0.000312663,0.530833172,0,0
7.13218E-7,0.050019029,0.000600359,0.484921709,0,0
1.47324E-6,0.100084798,0.001239715,0.43891359,0,0
3.04381E-6,0.200209388,0.002559645,0.394451962,0.008333333,0.013333333
4.52434E-6,0.300098093,0.003802304,0.368741543,0.008333333,0.013333333
6.00167E-6,0.400497909,0.005040743,0.35008699,0.011666667,0.013333333
7.38854E-6,0.500164619,0.006201936,0.335685289,0.016666667,0.013333333
8.6992E-6,0.600194814,0.007298083,0.323699981,0.016666667,0.013333333
9.77032E-6,0.700500723,0.008192994,0.313164508,0.023333333,0.013333333
1.04492E-5,0.750157623,0.008759775,0.308428378,0.028333333,0.013333333
1.10853E-5,0.800573812,0.009290569,0.30388556,0.028333333,0.013333333
1.22793E-5,0.901118363,0.010286086,0.295573168,0.028333333,0.02
