Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.29763E-13,0.000000001,0,0.997776059,0,0
7.18619E-13,0.000000003,0,0.995455424,0,0
1.3365E-12,0.00000001,0.000000001,0.988106749,0,0
2.25134E-12,0.000000025,0.000000001,0.979984529,0,0
5.07508E-12,0.0000001,0.000000003,0.959292207,0,0
1.12666E-11,0.000000251,0.000000006,0.940146974,0,0
4.95678E-11,0.000001,0.000000025,0.910945658,0,0
1.04365E-10,0.00000251,0.000000053,0.89131696,0,0
3.33783E-10,0.00001,0.000000168,0.856217366,0,0
7.26258E-10,0.000025048,0.000000366,0.827402823,0,0
1.42291E-9,0.000050008,0.000000717,0.804003094,0,0
2.8904E-9,0.000100208,0.000001457,0.780796751,0,0
6.71015E-9,0.000250551,0.000003383,0.748888029,0,0
1.21759E-8,0.000501105,0.000006138,0.722877587,0,0
2.2968E-8,0.001001962,0.000011578,0.694353123,0,0
4.67947E-8,0.002502372,0.00002359,0.650744537,0,0
8.33133E-8,0.005002922,0.000041999,0.612260685,0,0
1.66666E-7,0.010010079,0.000084015,0.572713208,0,0
3.95581E-7,0.025013854,0.000199399,0.517211371,0,0
7.75089E-7,0.05001201,0.000390659,0.474763102,0,0
1.38403E-6,0.100049618,0.00069747,0.428930574,0.006666667,0
2.57815E-6,0.200066812,0.001298843,0.378166699,0.015,0.013333333
3.74914E-6,0.300283044,0.001888218,0.347031522,0.018333333,0.013333333
4.84105E-6,0.400175106,0.002437476,0.324502031,0.023333333,0.013333333
6.02324E-6,0.500550665,0.003031808,0.306613808,0.025,0.013333333
7.03801E-6,0.600442074,0.003541687,0.291723071,0.025,0.013333333
8.32315E-6,0.700712488,0.004187042,0.279152968,0.025,0.013333333
8.86677E-6,0.750613213,0.004459905,0.273544769,0.025,0.013333333
9.73534E-6,0.800749718,0.004895715,0.268323342,0.025,0.02
1.09723E-5,0.900876764,0.005516033,0.258944111,0.03,0.02
1.22265E-5,1.000582226,0.006144631,0.250628505,0.03,0.02
1.3335E-5,1.100839564,0.006699831,0.243086444,0.03,0.02
1.47958E-5,1.200803642,0.007431039,0.236221234,0.03,0.02
