Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.39232E-13,0.000000001,0.000000001,0.984354758,0,0
5.125E-13,0.000000003,0.000000001,0.980069756,0,0
1.68114E-12,0.00000001,0.000000004,0.972496263,0,0
3.90486E-12,0.000000025,0.00000001,0.966915795,0,0
1.31927E-11,0.0000001,0.000000034,0.957050324,0,0
2.80415E-11,0.00000025,0.000000073,0.949676134,0,0
8.6893E-11,0.000001001,0.000000225,0.935426009,0,0
1.86071E-10,0.000002509,0.000000483,0.923966119,0,0
5.5715E-10,0.000010035,0.000001445,0.902541106,0,0
1.13518E-9,0.000025107,0.000002945,0.884005979,0,0
1.89814E-9,0.000050003,0.000004924,0.867463876,0,0
3.65694E-9,0.000100077,0.000009487,0.848729447,0,0
8.27642E-9,0.000250153,0.00002147,0.822122571,0,0
1.48926E-8,0.000500725,0.000038634,0.799701046,0,0
2.63521E-8,0.001001821,0.00006836,0.774987544,0,0
6.02431E-8,0.002505677,0.00015627,0.738415546,0,0
1.22455E-7,0.005008188,0.000317623,0.709616343,0,0
2.36021E-7,0.010020154,0.0006121,0.681016442,0,0
5.55176E-7,0.025043855,0.001439204,0.640458396,0,0
9.72968E-7,0.050021611,0.002520894,0.607174888,0,0
1.77153E-6,0.100150458,0.004585158,0.570104634,0,0
3.38832E-6,0.20018301,0.008751471,0.53064275,0,0
5.04478E-6,0.300304745,0.013001921,0.507025411,0,0
6.59213E-6,0.400345843,0.016955931,0.489985052,0,0
8.07936E-6,0.500277698,0.020741385,0.476332835,0,0
9.51345E-6,0.600191715,0.024377762,0.465072247,0,0
1.09729E-5,0.700767572,0.028064712,0.455306428,0,0
1.16155E-5,0.750461435,0.029683523,0.450921774,0.015151515,0
1.23074E-5,0.800764424,0.031423461,0.446736423,0.03030303,0
1.34201E-5,0.900658165,0.034215357,0.438963627,0.03030303,0
1.50144E-5,1.000649736,0.038201643,0.431988042,0.03030303,0
1.64134E-5,1.10133361,0.041685961,0.425610364,0.03030303,0
1.77219E-5,1.20054347,0.044933401,0.419830593,0.03030303,0
1.90541E-5,1.301507608,0.048228499,0.414349776,0.03030303,0
2.01666E-5,1.401734947,0.050971429,0.409267564,0.03030303,0
2.11746E-5,1.500645871,0.053449852,0.404484305,0.03030303,0
2.39902E-5,1.751048829,0.060338425,0.393423019,0.03030303,0
2.72641E-5,2.002485262,0.068285162,0.3836572,0.03030303,0
3.00143E-5,2.25189259,0.074908901,0.374987544,0.03030303,0
3.31706E-5,2.501464919,0.082452766,0.367115097,0.045454545,0
3.60366E-5,2.750289574,0.089249416,0.359940209,0.060606061,0
3.87161E-5,3.001829942,0.095558236,0.353263577,0.060606061,0
4.1484E-5,3.250316818,0.102029424,0.347085202,0.060606061,0
4.39341E-5,3.501928991,0.107718874,0.34120578,0.060606061,0
4.61846E-5,3.753993714,0.112913104,0.335625311,0.060606061,0
4.90816E-5,4.002153704,0.119554738,0.330443448,0.060606061,0
5.08616E-5,4.252097925,0.123610988,0.325460887,0.060606061,0
5.2953E-5,4.501138606,0.12835314,0.320677628,0.060606061,0
5.53501E-5,4.755398093,0.133756658,0.315994021,0.060606061,0
5.70263E-5,5.003403385,0.137515204,0.311609367,0.075757576,0
5.8844E-5,5.252223376,0.141572706,0.307324365,0.075757576,0
6.11652E-5,5.50409504,0.146726261,0.303139013,0.075757576,0
6.27048E-5,5.752253199,0.150127618,0.299152965,0.075757576,0
6.51883E-5,6.001117713,0.155585346,0.295266567,0.090909091,0
6.71237E-5,6.252491983,0.159814482,0.291479821,0.090909091,0
6.94928E-5,6.505794179,0.164962327,0.287792725,0.090909091,0
7.17252E-5,6.753166565,0.169784363,0.284304933,0.090909091,0
7.36268E-5,7.000427688,0.173869766,0.280916791,0.090909091,0
7.53923E-5,7.253644365,0.177644779,0.27752865,0.090909091,0
7.73726E-5,7.505745863,0.181858795,0.274240159,0.090909091,0
7.918E-5,7.756189198,0.18568585,0.27105132,0.090909091,0
8.14831E-5,8.006011078,0.190536615,0.267962133,0.090909091,0
8.41897E-5,8.254612678,0.196200186,0.264972596,0.090909091,0
8.62512E-5,8.501852994,0.200487557,0.262082711,0.090909091,0
8.76884E-5,8.754169562,0.203462797,0.259192825,0.090909091,0
8.97585E-5,9.003355959,0.207729054,0.256402591,0.090909091,0
9.1917E-5,9.258048238,0.212153034,0.253612357,0.090909091,0
9.41699E-5,9.500429974,0.21674416,0.251021425,0.090909091,0
9.59903E-5,9.757047438,0.220434255,0.248330842,0.090909091,0
9.8473E-5,10.00984677,0.225439068,0.24573991,0.090909091,0
1.00284E-4,10.258069863,0.229070041,0.24324863,0.106060606,0
1.02039E-4,10.500937498,0.232571205,0.240857,0.106060606,0
1.04373E-4,10.758882906,0.237203793,0.23836572,0.106060606,0
