Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.62437E-10,0.000000086,0.000001873,1,0,0
8.95715E-10,0.000000176,0.000001946,0.999900349,0,0
9.07611E-10,0.000000267,0.000001971,0.999800698,0,0
9.87215E-10,0.00000103,0.000002144,0.999003488,0,0
1.07775E-9,0.000002578,0.000002341,0.997508719,0,0
1.39558E-9,0.000010002,0.000003031,0.991529646,0,0
2.05646E-9,0.000025102,0.000004467,0.983059292,0,0
3.11719E-9,0.000050234,0.000006771,0.973193822,0,0
5.30749E-9,0.000100189,0.000011528,0.961136024,0,0
1.02496E-8,0.000250801,0.000022262,0.941604385,0,0
1.58633E-8,0.000500417,0.000034455,0.922571001,0,0
2.43206E-8,0.001001686,0.000052824,0.897259591,0,0
4.33172E-8,0.002502052,0.000094083,0.852117588,0,0
6.9307E-8,0.00500081,0.000150527,0.806676632,0,0
1.37182E-7,0.010008737,0.000297922,0.756053812,0,0
3.89262E-7,0.025021423,0.000845139,0.692476333,0,0
7.68627E-7,0.050060504,0.001668104,0.648530144,0,0
1.49129E-6,0.100132827,0.003233922,0.602989537,0,0
2.92114E-6,0.20006322,0.006324779,0.556053812,0,0
4.43965E-6,0.300042097,0.009596797,0.528749377,0,0
5.94083E-6,0.400082888,0.01282087,0.50941704,0,0
7.35026E-6,0.50071036,0.015838365,0.494270055,0,0
8.55096E-6,0.600387917,0.018401684,0.481714001,0,0
9.98837E-6,0.70025483,0.021461589,0.470951669,0,0
1.05521E-5,0.750584004,0.022659104,0.466068759,0,0
1.13756E-5,0.800861946,0.024405595,0.461484803,0,0
1.24543E-5,0.900136132,0.026688803,0.453213752,0,0
1.36736E-5,1.000470502,0.029262997,0.445540608,0,0
1.47798E-5,1.100127882,0.031592584,0.438565022,0,0
1.59318E-5,1.201197355,0.034012689,0.431988042,0.015151515,0
1.72694E-5,1.301514624,0.036815266,0.425909317,0.045454545,0
1.83081E-5,1.400872893,0.038985822,0.420328849,0.045454545,0
1.94451E-5,1.500666699,0.041356136,0.415047334,0.045454545,0
2.19816E-5,1.75209383,0.046623221,0.402989537,0.045454545,0
2.52261E-5,2.001060341,0.053318219,0.392526158,0.045454545,0
2.85759E-5,2.25268017,0.060181253,0.383158944,0.045454545,0
3.12199E-5,2.502592282,0.065563026,0.374788241,0.045454545,0
3.38301E-5,2.750462398,0.070845932,0.367214748,0.045454545,0
3.60201E-5,3.001761403,0.075255235,0.36003986,0.045454545,0
3.86456E-5,3.251617271,0.080513652,0.353363229,0.045454545,0
4.06707E-5,3.501701907,0.084549339,0.347085202,0.045454545,0
4.28927E-5,3.752057888,0.088956807,0.341106129,0.060606061,0
4.5013E-5,4.002515138,0.09314288,0.335426009,0.060606061,0
4.74866E-5,4.253119405,0.098002226,0.330044843,0.060606061,0
4.95196E-5,4.501390889,0.101976452,0.324962631,0.060606061,0
5.18993E-5,4.750316533,0.106606259,0.320079721,0.060606061,0
5.43221E-5,5.000463635,0.111295315,0.315396114,0.060606061,0
5.62397E-5,5.254192098,0.114989261,0.310812157,0.060606061,0
5.83352E-5,5.500917268,0.119008203,0.306527155,0.060606061,0
6.06407E-5,5.751032648,0.123408883,0.302341804,0.060606061,0
6.20778E-5,6.00197577,0.126140798,0.298256104,0.060606061,0
6.3758E-5,6.253425007,0.129324145,0.294270055,0.060606061,0
6.59991E-5,6.506327779,0.133552197,0.290383657,0.060606061,0
6.78746E-5,6.754045014,0.137074535,0.286696562,0.060606061,0
6.93937E-5,7.001336228,0.139917178,0.283109118,0.060606061,0
7.10564E-5,7.254465073,0.143017651,0.279521674,0.060606061,0
7.23762E-5,7.505747285,0.145470966,0.276033881,0.060606061,0
7.41012E-5,7.755018821,0.148666571,0.27264574,0.060606061,0
7.5876E-5,8.002856642,0.15194225,0.26935725,0.060606061,0
7.75225E-5,8.256219644,0.154969563,0.266068759,0.060606061,0
7.9323E-5,8.507021357,0.158267984,0.26287992,0.060606061,0
8.11574E-5,8.755987767,0.161615076,0.259790732,0.075757576,0
8.24196E-5,9.001091924,0.163910461,0.256801196,0.075757576,0
8.42258E-5,9.251165837,0.167184043,0.253811659,0.075757576,0
8.57913E-5,9.50661793,0.170011136,0.250822123,0.075757576,0
8.71308E-5,9.757255465,0.172422452,0.247932237,0.075757576,0
8.81684E-5,10.002610279,0.174285469,0.245142003,0.075757576,0
8.95989E-5,10.251805919,0.176847035,0.242351769,0.090909091,0
9.1587E-5,10.50523452,0.180394059,0.239561535,0.090909091,0
9.27954E-5,10.754261962,0.182542336,0.236870952,0.090909091,0
9.49361E-5,11.008052131,0.186334561,0.234180369,0.090909091,0
9.64349E-5,11.257020762,0.188979098,0.231589437,0.090909091,0
9.78574E-5,11.509743558,0.191481095,0.228998505,0.090909091,0
9.92778E-5,11.756462649,0.193971655,0.226507225,0.090909091,0
1.01305E-4,12.007382905,0.197513707,0.224015944,0.106060606,0
1.03661E-4,12.253717262,0.201608334,0.221624315,0.106060606,0
1.05235E-4,12.504564718,0.204334286,0.219232686,0.106060606,0
1.07238E-4,12.759296575,0.207787408,0.216841056,0.106060606,0
1.08362E-4,13.007094862,0.20971928,0.214549078,0.106060606,0
1.09949E-4,13.258418295,0.21243951,0.2122571,0.106060606,0
1.11696E-4,13.501807979,0.215422246,0.210064773,0.106060606,0
1.13355E-4,13.76103622,0.218243675,0.207772795,0.106060606,0
1.14835E-4,14.000751144,0.220753019,0.20568012,0.106060606,0
1.16801E-4,14.25573217,0.224073948,0.203487793,0.106060606,0
1.1772E-4,14.502235728,0.225620799,0.201395117,0.106060606,0
1.19537E-4,14.7515925,0.228671585,0.199302441,0.121212121,0
1.21382E-4,15.004487467,0.231755377,0.197209766,0.121212121,0
1.23037E-4,15.261148452,0.234512326,0.19511709,0.121212121,0
1.25217E-4,15.509900089,0.238127931,0.193124066,0.121212121,0
1.26734E-4,15.761852386,0.240634743,0.191131041,0.121212121,0
1.27973E-4,16.003890214,0.242675199,0.189237668,0.121212121,0
1.29772E-4,16.262104445,0.245629532,0.187244644,0.121212121,0
1.3108E-4,16.510002571,0.247770081,0.185351271,0.121212121,0
1.32633E-4,16.76067937,0.250303007,0.183457897,0.121212121,0
1.34011E-4,17.000746294,0.252542235,0.181664175,0.121212121,0
1.35552E-4,17.257217786,0.25504122,0.179770802,0.151515152,0
1.3712E-4,17.502818347,0.257572747,0.17797708,0.166666667,0
1.38828E-4,17.751400538,0.260323044,0.176183358,0.166666667,0
1.41213E-4,18.003378859,0.264144898,0.174389636,0.181818182,0
1.42337E-4,18.258650669,0.265938259,0.172595914,0.196969697,0
1.43393E-4,18.501549483,0.267621259,0.170901844,0.196969697,0
1.45152E-4,18.761132585,0.270413365,0.169108122,0.196969697,0
1.47362E-4,19.010174086,0.273907414,0.167414051,0.196969697,0
1.49269E-4,19.262589005,0.276908764,0.16571998,0.196969697,0
1.50796E-4,19.502411222,0.279302376,0.164125561,0.196969697,0
1.52357E-4,19.759976879,0.28174258,0.16243149,0.196969697,0
1.54116E-4,20.005511057,0.284481553,0.16083707,0.196969697,0
1.55597E-4,20.253330885,0.286778742,0.159242651,0.196969697,0
1.57769E-4,20.503859834,0.290136584,0.157648231,0.196969697,0
1.59595E-4,20.758203603,0.292945649,0.156053812,0.196969697,0
1.61162E-4,21.014764443,0.295348113,0.154459392,0.227272727,0
1.62402E-4,21.257623268,0.297244102,0.152964624,0.227272727,0
1.64544E-4,21.502536475,0.300506022,0.151469856,0.227272727,0
1.65822E-4,21.750505418,0.302444628,0.149975087,0.227272727,0
1.67558E-4,22.000584183,0.305069525,0.148480319,0.227272727,0
1.69304E-4,22.253321643,0.3077004,0.146985551,0.227272727,0
1.70888E-4,22.508563832,0.310077691,0.145490782,0.242424242,0
1.7213E-4,22.765965799,0.311937766,0.143996014,0.242424242,0
1.74004E-4,23.008088322,0.314731928,0.142600897,0.242424242,0
1.75852E-4,23.252793526,0.317477067,0.14120578,0.242424242,0
1.77346E-4,23.517470645,0.319687992,0.139711011,0.242424242,0
1.79112E-4,23.767147363,0.322292616,0.138315894,0.242424242,0
1.81029E-4,24.001098036,0.325109186,0.137020429,0.242424242,0
1.84079E-4,24.2571365,0.329565431,0.135625311,0.242424242,0
1.86878E-4,24.517479782,0.333628301,0.134230194,0.242424242,0
1.88843E-4,24.761696093,0.336466148,0.132934728,0.242424242,0
1.91091E-4,25.00892544,0.339699059,0.131639263,0.242424242,0
1.92805E-4,25.258714292,0.342152929,0.130343797,0.242424242,0
1.94837E-4,25.511210042,0.345050144,0.129048331,0.257575758,0
1.96651E-4,25.765722942,0.347624694,0.127752865,0.257575758,0
1.99025E-4,26.002722549,0.350980764,0.12655705,0.257575758,0
2.01394E-4,26.263198142,0.354311025,0.125261584,0.287878788,0
2.03239E-4,26.505950596,0.356893742,0.12406577,0.287878788,0
2.05432E-4,26.751352655,0.359949806,0.122869955,0.287878788,0
2.08099E-4,27.020202663,0.363646646,0.121574489,0.287878788,0
2.10012E-4,27.250329047,0.366285768,0.120478326,0.303030303,0
2.11271E-4,27.503198277,0.368015961,0.119282511,0.303030303,0
2.1294E-4,27.757787404,0.370302741,0.118086697,0.303030303,0
2.15534E-4,28.015143857,0.373841048,0.116890882,0.303030303,0
2.17496E-4,28.253301591,0.376503281,0.115794718,0.303030303,0
2.19906E-4,28.515790317,0.379759085,0.114598904,0.318181818,0
2.22812E-4,28.759701627,0.383660931,0.11350274,0.318181818,0
2.24659E-4,29.006145084,0.386128945,0.112406577,0.318181818,0
2.26835E-4,29.254729587,0.389023689,0.111310414,0.318181818,0
2.29849E-4,29.506365895,0.393009653,0.11021425,0.318181818,0
2.31784E-4,29.760250029,0.395555605,0.109118087,0.318181818,0
2.33481E-4,30.016268799,0.397780265,0.108021923,0.318181818,0
2.35758E-4,30.251244026,0.400751655,0.107025411,0.318181818,0
2.38337E-4,30.511934513,0.404098073,0.105929248,0.318181818,0
2.40571E-4,30.751367131,0.406982675,0.104932735,0.318181818,0
2.42362E-4,31.016885038,0.409285677,0.103836572,0.318181818,0
2.44732E-4,31.260268593,0.412318849,0.10284006,0.318181818,0
2.47403E-4,31.506473908,0.415718121,0.101843548,0.318181818,0
2.49404E-4,31.754729001,0.418251908,0.100847035,0.318181818,0
2.52011E-4,32.00562241,0.421536449,0.099850523,0.318181818,0
2.53595E-4,32.25868129,0.423523763,0.098854011,0.318181818,0
2.56669E-4,32.513778916,0.427359473,0.097857499,0.318181818,0
2.60552E-4,32.77216511,0.432169028,0.096860987,0.333333333,0
2.62339E-4,33.007639132,0.434368808,0.095964126,0.333333333,0
2.64774E-4,33.271119998,0.437352955,0.094967613,0.333333333,0
2.6637E-4,33.510235999,0.43929939,0.094070752,0.333333333,0
2.68788E-4,33.751394576,0.442236898,0.093173891,0.333333333,0
2.71005E-4,34.02159193,0.444916685,0.092177379,0.333333333,0
2.72785E-4,34.266378233,0.447057763,0.091280518,0.333333333,0
2.77078E-4,34.514527072,0.452190212,0.090383657,0.333333333,0
2.79113E-4,34.765000489,0.45460632,0.089486796,0.333333333,0
2.81765E-4,35.017878585,0.457738711,0.088589935,0.333333333,0
2.85291E-4,35.272544539,0.461875928,0.087693074,0.333333333,0
2.8776E-4,35.501836364,0.464754368,0.086895864,0.333333333,0
2.89713E-4,35.761899139,0.467019245,0.085999003,0.348484848,0
2.92625E-4,36.024395069,0.470380176,0.085102143,0.363636364,0
2.96708E-4,36.260096252,0.475056215,0.084304933,0.363636364,0
2.99623E-4,36.528602705,0.478369832,0.083408072,0.363636364,0
3.02487E-4,36.769449881,0.481604806,0.082610862,0.363636364,0
3.04871E-4,37.012135788,0.484282161,0.081813652,0.363636364,0
3.07267E-4,37.257129488,0.486958543,0.081016442,0.363636364,0
3.10853E-4,37.504564283,0.490939266,0.080219233,0.378787879,0
3.13299E-4,37.754723466,0.493636376,0.079422023,0.378787879,0
3.144E-4,38.005848379,0.494846473,0.078624813,0.393939394,0
3.17283E-4,38.258771544,0.497999242,0.077827603,0.393939394,0
3.19931E-4,38.51383064,0.500878694,0.077030394,0.393939394,0
3.23056E-4,38.77105357,0.504254655,0.076233184,0.393939394,0
3.25309E-4,39.030561366,0.506675108,0.075435974,0.393939394,0
3.28485E-4,39.259519509,0.510066301,0.074738416,0.393939394,0
3.31914E-4,39.524045468,0.513702003,0.073941206,0.393939394,0
3.32752E-4,39.756748969,0.514586283,0.073243647,0.409090909,0
3.34759E-4,40.023980877,0.516697302,0.072446437,0.409090909,0
3.37948E-4,40.259328689,0.520034024,0.071748879,0.409090909,0
3.40345E-4,40.530937634,0.522526048,0.070951669,0.409090909,0
3.43492E-4,40.770062541,0.525778516,0.070254111,0.409090909,0
3.46242E-4,41.011337843,0.528603448,0.069556552,0.409090909,0
3.48753E-4,41.254731827,0.531167158,0.068858994,0.409090909,0
3.52453E-4,41.535183387,0.534919837,0.068061784,0.409090909,0
3.54008E-4,41.782671806,0.536488006,0.067364225,0.424242424,0
3.56594E-4,42.031441869,0.539084414,0.066666667,0.424242424,0
3.58743E-4,42.282177099,0.541230307,0.065969108,0.424242424,0
3.64134E-4,42.535544892,0.546570774,0.06527155,0.424242424,0
3.65267E-4,42.754372872,0.547685285,0.064673642,0.424242424,0
3.68143E-4,43.01123384,0.550502144,0.063976084,0.424242424,0
