SampleID,Date,longitude,latitude
BI13,14-Jul-25,-155.96348,19.5996023
BIO1,7-Jul-25,-155.97014,19.594
BIO2,7-Jul-25,-155.92856,19.5424751
BIO3,7-Jul-25,-155.92865,19.5425027
BI1,10-Jul-25,-155.92853,19.5425304
BI31,14-Jul-25,-155.91311,19.491911
BI10,13-Jul-25,-155.89814,19.4578056
BIO4,13-Jul-25,-155.89803,19.4579444
BI15,8-Jul-25,-155.89281,19.4513611
BI16,8-Jul-25,-155.89286,19.4511111
BIO5,8-Jul-25,-155.89278,19.4512778
BIO6,8-Jul-25,-155.89278,19.4512778
BIO7,8-Jul-25,-155.89278,19.4511667
BIO8,8-Jul-25,-155.89278,19.4511111
BIO9,8-Jul-25,-155.89278,19.4510833
BIO10,8-Jul-25,-155.89275,19.4510833
BIO11,8-Jul-25,-155.89272,19.4510556
BIO12,8-Jul-25,-155.89275,19.4510278
BIO13,8-Jul-25,-155.89275,19.4510278
BIO14,8-Jul-25,-155.89281,19.4510556
BIO15,8-Jul-25,-155.89236,19.4513333
BIO16,8-Jul-25,-155.89228,19.4512222
BIO17,8-Jul-25,-155.89208,19.4508889
BIO18,8-Jul-25,-155.89203,19.4508889
BIO19,8-Jul-25,-155.89203,19.4509167
BI14,13-Jul-25,-155.90442,19.425
BI9,12-Jul-25,-155.59025,19.0595556
BI8,12-Jul-25,-155.59025,19.0596509
BI7,13-Jul-25,-155.59025,19.0597844
BIO20,14-Jul-25,-155.59022,19.0598285
BIO21,15-Jul-25,-155.59019,19.0599167
BIO22,16-Jul-25,-155.58978,19.0596667
BIO23,17-Jul-25,-155.58981,19.05975
BIO24,18-Jul-25,-155.58978,19.05975
BIO25,19-Jul-25,-155.58981,19.05975
BI 11 Adult,20-Jul-25,-155.03961,19.6245278
BIO26,21-Jul-25,-155.03908,19.6249125
BI12,22-Jul-25,-155.37322,20.0411389
K2,29-Jun-23,-159.3674,21.9761102
KO78,29-Jun-24,-159.36708,21.976124
KO79,29-Jun-24,-159.36706,21.976129
KO80,29-Jun-24,-159.36705,21.976145
KO81,29-Jun-24,-159.36701,21.976256
KO82,29-Jun-24,-159.36691,21.976264
KO83,29-Jun-24,-159.36669,21.976339
KO84,29-Jun-24,-159.36706,21.9761389
KO85,29-Jun-24,-159.36703,21.97625
KO86,29-Jun-24,-159.36708,21.9761111
KO77,29-Jun-24,-159.36704,21.975189
KO1,27-Jun-23,-159.36697,21.97625
KO87,27-Jun-23,-159.36712,21.975894
KO88,27-Jun-23,-159.36736,21.9761667
KO89,27-Jun-23,-159.36719,21.9760278
KO2,28-Jun-23,-159.36711,21.9760833
KO3,29-Jun-23,-159.36717,21.9760278
KO4,30-Jun-23,-159.36717,21.9760833
