K2(2023)(m),K2(2024)(m),K2(2025)(m)
28.65,0.91,8.88
28.65,9.51,9.93
28.65,17.62,24.21
29.11,22.49,24.45
29.26,27.86,25
30.48,29.11,26.48
30.48,32.25,30.86
30.78,32.37,34.06
31.1,32.61,35.19
42.06,32.61,37.12
42.52,32.67,38.75
42.67,32.71,40.6
54.56,32.8,41.3
55.62,35.08,42
57,35.78,42.05
57.45,36.52,45.14
57.45,40.45,45.76
57.45,41.64,47.5
60.96,43.53,56.58
65.99,44.32,79.1
69.04,46.6,94.84
69.19,47.46,107.51
70.56,48.62,135.69
71.32,51.76,210.44
77.42,55.69,211
77.42,62.09,308.16
80.01,64.4,
83.52,66.14,
85.34,69.46,
85.34,79.83,
86.56,96.29,
90.53,100.34,
90.53,100.74,
169.9,114.15,
208.45,141.85,
210.56,144.29,
,169.9,
,208.18,
,210.56,
,249.11,
,276.61,
,303.22,
