type,latitude,longitude,altitude (ft),name,desc
W,21.96884489,-159.7113096,7.5,K21,
W,19.59960233,-155.9634821,272.3,BI 13 Adult,
W,19.594,-155.9701389,,BI Offspring,
W,19.54247509,-155.928562,1464.6,BI Daifukuji Offspring,
W,19.54250268,-155.928648,1461.6,BI Daifukuji Offspring,
W,19.54253039,-155.9285289,1465.9,BI Daifukuji Adult,
W,19.49191103,-155.9131064,1468.2,BI Adult,
W,19.4578056,-155.8981389,,BI 10 Adult,
W,19.4579444,-155.8980278,,BI Offspring,
W,19.4513611,-155.8928056,,BI 15 Adult,
W,19.4511111,-155.8928611,,BI 16 Adult,
W,19.4512778,-155.8927778,,BI Offspring,
W,19.4511667,-155.8927778,,BI Offspring,
W,19.4511111,-155.8927778,,BI Offspring,
W,19.4510833,-155.8927778,,BI Offspring,
W,19.4510833,-155.89275,,BI Offspring,
W,19.4510556,-155.8927222,,BI Offspring,
W,19.4510278,-155.89275,,BI Offspring,
W,19.4510556,-155.8928056,,BI Offspring,
W,19.4513333,-155.8923611,,BI Offspring,
W,19.4512222,-155.8922778,,BI Offspring,
W,19.4508889,-155.8920833,,BI Offspring,
W,19.4508889,-155.8920278,,BI Offspring,
W,19.4509167,-155.8920278,,BI Offspring,
W,19.425,-155.9044167,,BI 14 Adult,
W,19.0595556,-155.59025,,BI 9 Adult,
W,19.05965086,-155.5902477,719.5,BI 8 Adult,
W,19.0597844,-155.5902503,720.8,BI 7 Adult,
W,19.05982847,-155.5902197,720.8,BI Offspring,
W,19.0599167,-155.5901944,,BI Offspring,
W,19.0596667,-155.5897778,,BI Offspring,
W,19.05975,-155.5898056,,BI Offspring,
W,19.05975,-155.5897778,,BI Offspring,
W,19.6245278,-155.0396111,,BI 11 Adult,
W,19.62491246,-155.0390819,314,BI Juvenile,
W,20.0411389,-155.3732222,,BI 12 Adult,
W,22.20865,-159.384475,,K4,<div>Planted adult non-fruiting</div>
W,21.924507,-159.509247,,K80,<div>New planted tree from the Lawai international center</div>
W,21.9679722,-159.7088056,,K21 Offspring,<div>Second generation adult</div>
W,21.9761102,-159.367397,210,K2,
W,21.976124,-159.367076,,K2 Offspring,<div>New in 2025<br></div>
W,21.976129,-159.367057,,K2 Offspring,<div>New in 2025<br></div>
W,21.976145,-159.367045,,K2 Offspring,<div>New in 2025<br></div><div><br></div>
W,21.976256,-159.367014,,K2 Offspring,<div>New in 2025<br></div>
W,21.976264,-159.366909,,K2 Offspring,<div>New in 2025<br></div>
W,21.976339,-159.366692,,K2 Offspring,<div>New in 2025<br></div>
W,21.9761389,-159.3670556,,K2 Offspring,<div>New to 2025</div>
